"{0, 0.21471695883789904}","{1, 0.19480547879414978}","{2, 0.1521161319528682}","{3, 0.1111732501611084}","{4, 0.08085213440342628}","{5, 0.06007691007692911}","{6, 0.04589582405022448}","{7, 0.036020924958940055}","{8, 0.02897048112838634}","{9, 0.023809687624156622}","{10, 0.019941825645476485}","{11, 0.016978179574428712}","{12, 0.014660229167011865}","{13, 0.012812433650109648}","{14, 0.011313324078445862}","{15, 0.010077297138150677}","{16, 0.009042987680631089}","{17, 0.00816577667057925}","{18, 0.007412720341784168}","{19, 0.00675918275735825}","{20, 0.006186528124238492}","{21, 0.005680499661873147}","{22, 0.0052300632084624375}","{23, 0.004826613366789683}","{24, 0.0044633581701135055}","{25, 0.004134909041851532}","{26, 0.003836932020381069}","{27, 0.0035659334985506225}","{28, 0.0033190660215978197}","{29, 0.0030939969673685623}","{30, 0.0028888022080150464}","{31, 0.0027018874694621}","{32, 0.0025319311616301653}","{33, 0.0023778227680483458}","{34, 0.0022386401297069757}","{35, 0.0021136080291117255}","{36, 0.0020020819677153607}","{37, 0.0019035163907614417}","{38, 0.0018174653236179}","{39, 0.001743558110603843}","{40, 0.0016814903016015667}","{41, 0.0016310176988513934}","{42, 0.0015919507808093492}","{43, 0.0015641451103508331}","{44, 0.0015475000828358706}","{45, 0.0015419579485019634}"
"{0, 0.525345655936996}","{1, 0.5410757181588935}","{2, 0.575379496182243}","{3, 0.6057283186346476}","{4, 0.6199888327098534}","{5, 0.6176223991584717}","{6, 0.603328160742788}","{7, 0.5825483912986503}","{8, 0.5596352870789588}","{9, 0.5374519269296184}","{10, 0.517560090680842}","{11, 0.5005814904507442}","{12, 0.48655685040433094}","{13, 0.47522720466340995}","{14, 0.46622211740468744}","{15, 0.45916438596628895}","{16, 0.4537163593141639}","{17, 0.44959255229845735}","{18, 0.446555504273327}","{19, 0.4444081610147298}","{20, 0.4429861507052306}","{21, 0.44215183257236096}","{22, 0.4417897479346851}","{23, 0.44180308295698495}","{24, 0.44211059241013273}","{25, 0.44264523607553397}","{26, 0.4433503240054283}","{27, 0.4441793160818534}","{28, 0.4450934665444638}","{29, 0.44606051624504356}","{30, 0.4470539273100301}","{31, 0.44805145491296766}","{32, 0.4490349817178183}","{33, 0.44998912237376604}","{34, 0.45090131503370284}","{35, 0.45176105662970434}","{36, 0.4525598722697045}","{37, 0.4532903026060184}","{38, 0.45394654956620195}","{39, 0.4545239702257855}","{40, 0.45501844790191204}","{41, 0.4554269824307976}","{42, 0.4557470760327287}","{43, 0.4559770440706373}","{44, 0.4561154211863454}","{45, 0.4561615867395084}"
"{0, 0.5532370328369379}","{1, 0.5644419250566107}","{2, 0.5954329026452023}","{3, 0.6395599826572363}","{4, 0.6888736095217841}","{5, 0.7365556782859373}","{6, 0.7780794242415544}","{7, 0.8112396591211637}","{8, 0.8356332255934533}","{9, 0.8520258631268225}","{10, 0.861825570428975}","{11, 0.8666872432954625}","{12, 0.8682405486264821}","{13, 0.8679085622790583}","{14, 0.866804720682938}","{15, 0.8656947460247328}","{16, 0.8650177027491682}","{17, 0.8649531632610769}","{18, 0.8655037176940109}","{19, 0.8665786499878619}","{20, 0.86805614582967}","{21, 0.8698200148626314}","{22, 0.8717743055861615}","{23, 0.8738450072782885}","{24, 0.8759746314259294}","{25, 0.8781225863095242}","{26, 0.8802546993712409}","{27, 0.8823463901338032}","{28, 0.8843781962642298}","{29, 0.886334559169526}","{30, 0.888204090463769}","{31, 0.8899767137408529}","{32, 0.8916463349148855}","{33, 0.8932060945743173}","{34, 0.8946521372381494}","{35, 0.895980410040775}","{36, 0.897189124333492}","{37, 0.8982745133697457}","{38, 0.8992352710661516}","{39, 0.9000709331547548}","{40, 0.9007791288959527}","{41, 0.9013598873480774}","{42, 0.9018119672930339}","{43, 0.9021355769168454}","{44, 0.902329428902265}","{45, 0.9023939354262864}"
"{0, 0.814766369673525}","{1, 0.8180128565381046}","{2, 0.8275933605764594}","{3, 0.843029405045108}","{4, 0.8635621750126061}","{5, 0.8881986086835622}","{6, 0.9157723309159265}","{7, 0.9450087052074395}","{8, 0.9746150656393848}","{9, 1.0033410107873595}","{10, 1.0300757811652883}","{11, 1.0539122349721601}","{12, 1.0742107786521948}","{13, 1.090633315134589}","{14, 1.103159866055361}","{15, 1.1120568590228035}","{16, 1.1178417055781862}","{17, 1.1211733164522253}","{18, 1.1227779293270284}","{19, 1.1233312234747679}","{20, 1.123376645327949}","{21, 1.1232814623773388}","{22, 1.1232400092615782}","{23, 1.123315966241181}","{24, 1.1234935907811747}","{25, 1.1237415703000375}","{26, 1.124017468082274}","{27, 1.1242969460278631}","{28, 1.124564946146467}","{29, 1.1248115636753986}","{30, 1.1250352811656403}","{31, 1.1252317082211258}","{32, 1.1254058459176854}","{33, 1.125555150465246}","{34, 1.1256842659687385}","{35, 1.1257930503097904}","{36, 1.125888007546103}","{37, 1.1259652111005094}","{38, 1.1260282222601194}","{39, 1.126082586905871}","{40, 1.1261244770482008}","{41, 1.1261581457800445}","{42, 1.1261830309119882}","{43, 1.1262015456797179}","{44, 1.126210775601203}","{45, 1.1262131065044465}"
