"{0, 0.9770115464845126}","{1, 0.9813697456705742}","{2, 0.9886028810849024}","{3, 0.9935189811576133}","{4, 0.9962021688625387}","{5, 0.9976419317682544}","{6, 0.9984481662796271}","{7, 0.9989246913837477}","{8, 0.9992212549868547}","{9, 0.9994145549860493}","{10, 0.9995457923670431}","{11, 0.9996381518212553}","{12, 0.999705241839652}","{13, 0.9997553618436928}","{14, 0.9997937471672212}","{15, 0.9998238026292514}","{16, 0.9998478039007538}","{17, 0.9998673081433064}","{18, 0.9998834052703731}","{19, 0.9998968732211252}","{20, 0.9999082771354856}","{21, 0.9999180344491552}","{22, 0.9999264585050995}","{23, 0.9999337875509295}","{24, 0.999940205530127}","{25, 0.9999458559407793}","{26, 0.9999508524945268}","{27, 0.9999552860058739}","{28, 0.9999592299758119}","{29, 0.9999627444371383}","{30, 0.9999658789131153}","{31, 0.9999686745872824}","{32, 0.9999711658926026}","{33, 0.999973381970262}","{34, 0.9999753474142294}","{35, 0.9999770831838134}","{36, 0.9999786070736725}","{37, 0.9999799343350826}","{38, 0.9999810778081816}","{39, 0.9999820483552682}","{40, 0.999982855057713}","{41, 0.9999835053523016}","{42, 0.9999840051464803}","{43, 0.9999843589711199}","{44, 0.999984570016535}","{45, 0.9999846401593294}"
"{0, 0.6125933242393509}","{1, 0.6287546459663194}","{2, 0.6667255595181846}","{3, 0.7098543849357408}","{4, 0.7490085314222441}","{5, 0.7814786642615293}","{6, 0.807435220726422}","{7, 0.8279480421442638}","{8, 0.8441835952678939}","{9, 0.8571443703685153}","{10, 0.8676183179784439}","{11, 0.8762003742538239}","{12, 0.8833312169027537}","{13, 0.8893354762718675}","{14, 0.8944526918033291}","{15, 0.8988610855772068}","{16, 0.9026948677409253}","{17, 0.9060562750188671}","{18, 0.9090244128358764}","{19, 0.911661271838261}","{20, 0.9140160110371316}","{21, 0.916128053279478}","{22, 0.9180293960363314}","{23, 0.9197461885547152}","{24, 0.9213000763429038}","{25, 0.922708978092502}","{26, 0.9239880521416889}","{27, 0.9251500318842}","{28, 0.9262057850514662}","{29, 0.9271646305424762}","{30, 0.9280345921539704}","{31, 0.9288226406999732}","{32, 0.929534790738913}","{33, 0.9301763509173533}","{34, 0.9307519130511054}","{35, 0.9312655065694597}","{36, 0.9317206037411253}","{37, 0.9321203036886329}","{38, 0.9324672024949772}","{39, 0.9327635272090767}","{40, 0.9330111926298574}","{41, 0.9332117615129807}","{42, 0.9333664791778468}","{43, 0.9334763079909625}","{44, 0.9335419488985967}","{45, 0.9335637895942217}"
"{0, 0.4013465515037823}","{1, 0.4098758593781487}","{2, 0.4317043338424353}","{3, 0.4603029233108182}","{4, 0.4909524174430714}","{5, 0.5209319233885576}","{6, 0.5488087119519364}","{7, 0.5739270473121378}","{8, 0.5960917970534152}","{9, 0.6153724743897221}","{10, 0.631979965576624}","{11, 0.6461917441315915}","{12, 0.6583055681292295}","{13, 0.6686128819679938}","{14, 0.6773831183115913}","{15, 0.6848561230711506}","{16, 0.6912394234494715}","{17, 0.6967082466644687}","{18, 0.7014087097757751}","{19, 0.705461436234965}","{20, 0.7089657034566291}","{21, 0.7120033277011929}","{22, 0.7146421069425678}","{23, 0.7169384368900831}","{24, 0.7189397166265119}","{25, 0.7206854089275546}","{26, 0.7222093801513627}","{27, 0.7235400976909058}","{28, 0.7247019518323874}","{29, 0.7257159220806275}","{30, 0.7265999949326706}","{31, 0.727369856871344}","{32, 0.7280389086992257}","{33, 0.7286190510152947}","{34, 0.7291204805907627}","{35, 0.7295521522572425}","{36, 0.7299216851257563}","{37, 0.7302359836075766}","{38, 0.7305007301580804}","{39, 0.7307207388170736}","{40, 0.7309002608355198}","{41, 0.7310426416225266}","{42, 0.731150630621095}","{43, 0.7312262576358921}","{44, 0.7312711076197443}","{45, 0.7312859829346262}"
"{0, 0.2512668369675368}","{1, 0.2541955428796158}","{2, 0.26183989321094}","{3, 0.2722406655374405}","{4, 0.28399630127901726}","{5, 0.29626758655695173}","{6, 0.30853941639078686}","{7, 0.32047649744558154}","{8, 0.3318505748140284}","{9, 0.34250565222196433}","{10, 0.3523372822500864}","{11, 0.361282259191524}","{12, 0.3693107617214014}","{13, 0.3764217855621462}","{14, 0.3826384760471137}","{15, 0.3880047384585153}","{16, 0.3925812554316398}","{17, 0.39644007938855513}","{18, 0.39966068984840636}","{19, 0.4023246784323015}","{20, 0.4045113298877651}","{21, 0.40629401824057065}","{22, 0.40773803138784676}","{23, 0.40889958015329875}","{24, 0.4098265981072554}","{25, 0.41055810612304133}","{26, 0.4111277798535539}","{27, 0.41156311041317967}","{28, 0.41188736227750344}","{29, 0.4121203528113344}","{30, 0.4122786503546603}","{31, 0.4123767810719301}","{32, 0.41242658571236823}","{33, 0.41243891823882894}","{34, 0.41242261117811224}","{35, 0.4123855836306951}","{36, 0.4123341678509745}","{37, 0.41227460956946677}","{38, 0.41221162478394713}","{39, 0.41214903573454514}","{40, 0.41209069889568894}","{41, 0.4120391920901068}","{42, 0.41199691347932027}","{43, 0.4119653941697752}","{44, 0.41194615193587}","{45, 0.4119397115459407}"
"{0, 0.11731752948312933}","{1, 0.11779941999924026}","{2, 0.11904794844846467}","{3, 0.12072867402724033}","{4, 0.12260904306775532}","{5, 0.12455835940559888}","{6, 0.12650406673406073}","{7, 0.12840520842505146}","{8, 0.1302364156556016}","{9, 0.13198375476558655}","{10, 0.1336381671390493}","{11, 0.13519472824432485}","{12, 0.13665039285908934}","{13, 0.13800353204065544}","{14, 0.13925234361652045}","{15, 0.14040683375822094}","{16, 0.14143130247556066}","{17, 0.1423578230015361}","{18, 0.1431735504302399}","{19, 0.1438775773290051}","{20, 0.14447072726356391}","{21, 0.14495604387810163}","{22, 0.14533939030276982}","{23, 0.1456292948123572}","{24, 0.14583742008384243}","{25, 0.1459748523224863}","{26, 0.14605505322918996}","{27, 0.14608947362986285}","{28, 0.14608829640938029}","{29, 0.14606036317333054}","{30, 0.146012291417201}","{31, 0.14595029941264298}","{32, 0.14587819130483082}","{33, 0.14580044180697227}","{34, 0.1457197614779367}","{35, 0.14563911312435432}","{36, 0.14555999851656246}","{37, 0.1454870107740233}","{38, 0.14541619949513762}","{39, 0.14535341656698902}","{40, 0.14529888874733463}","{41, 0.14525298046415178}","{42, 0.14521664594634087}","{43, 0.1451901048151975}","{44, 0.1451743148361773}","{45, 0.1451691361125477}"
