"{0, 0.9967215534643795}","{1, 0.9973330965596207}","{2, 0.9983593290324333}","{3, 0.9990654411567677}","{4, 0.9994526968111792}","{5, 0.9996604975594391}","{6, 0.9997767356964984}","{7, 0.9998453696051236}","{8, 0.9998880522135825}","{9, 0.9999158583919077}","{10, 0.9999347300864583}","{11, 0.9999480078215086}","{12, 0.9999576510020987}","{13, 0.999964854010621}","{14, 0.9999703699922475}","{15, 0.9999746886215167}","{16, 0.9999781371116967}","{17, 0.9999809393267064}","{18, 0.9999832519367743}","{19, 0.9999851867557293}","{20, 0.9999868250048687}","{21, 0.9999882266735336}","{22, 0.9999894367894454}","{23, 0.9999904895874383}","{24, 0.9999914114980866}","{25, 0.9999922231397238}","{26, 0.99999294085036}","{27, 0.9999935776778218}","{28, 0.9999941441821568}","{29, 0.9999946489882249}","{30, 0.9999950992108521}","{31, 0.9999955007666221}","{32, 0.9999958586022256}","{33, 0.999996176904063}","{34, 0.9999964592052373}","{35, 0.9999967085166654}","{36, 0.9999969273946167}","{37, 0.9999971180299673}","{38, 0.999997282267213}","{39, 0.9999974216667156}","{40, 0.9999975375329986}","{41, 0.9999976309343364}","{42, 0.999997702719312}","{43, 0.9999977535387665}","{44, 0.9999977838509739}","{45, 0.9999977939254983}"
"{0, 0.9089734146311498}","{1, 0.9158265358536869}","{2, 0.9297563946635103}","{3, 0.94290234716583}","{4, 0.9531311110911017}","{5, 0.9607193059059679}","{6, 0.9663317887177291}","{7, 0.970532223047993}","{8, 0.973729923722641}","{9, 0.9762107134545416}","{10, 0.9781726287378905}","{11, 0.9797533538196755}","{12, 0.9810493039302816}","{13, 0.98212874104472}","{14, 0.9830405955120315}","{15, 0.9838204730708636}","{16, 0.9844947110675225}","{17, 0.9850830751070673}","{18, 0.9856006574144297}","{19, 0.9860591448695334}","{20, 0.986467704060064}","{21, 0.9868336112553848}","{22, 0.9871627149126843}","{23, 0.987459750789051}","{24, 0.9877286037456058}","{25, 0.9879724638420987}","{26, 0.9881940055887262}","{27, 0.9883954584799711}","{28, 0.9885787099692303}","{29, 0.9887453657285892}","{30, 0.9888967980181277}","{31, 0.9890341898480872}","{32, 0.9891585549275566}","{33, 0.989270781598951}","{34, 0.9893716332266498}","{35, 0.989461775622641}","{36, 0.9895417793027492}","{37, 0.9896121506387177}","{38, 0.9896733117910654}","{39, 0.9897256235079421}","{40, 0.9897693946292047}","{41, 0.9898048765070744}","{42, 0.98983226876354}","{43, 0.9898517254940435}","{44, 0.9898633586181772}","{45, 0.9898672300039604}"
"{0, 0.7742926479105928}","{1, 0.7862765726161155}","{2, 0.8117696863167744}","{3, 0.8374876196262674}","{4, 0.8589422353665882}","{5, 0.8759552569020951}","{6, 0.8893381884063309}","{7, 0.8999189704477525}","{8, 0.908356450081419}","{9, 0.91514577808592}","{10, 0.920655775655376}","{11, 0.9251634186581806}","{12, 0.9288791159292078}","{13, 0.9319647468264699}","{14, 0.9345459765247327}","{15, 0.9367210480319529}","{16, 0.9385670971196717}","{17, 0.9401447085392463}","{18, 0.941501673170069}","{19, 0.9426757903084604}","{20, 0.9436971140965815}","{21, 0.9445897079521649}","{22, 0.9453730189394944}","{23, 0.9460628654066754}","{24, 0.9466722706875766}","{25, 0.947211906315259}","{26, 0.9476907596844626}","{27, 0.9481162888813868}","{28, 0.9484947967417918}","{29, 0.9488316357452203}","{30, 0.9491313492861736}","{31, 0.9493978533168113}","{32, 0.9496344688720506}","{33, 0.949844113437091}","{34, 0.9500292706489177}","{35, 0.9501921046744122}","{36, 0.9503344488183507}","{37, 0.9504579486200327}","{38, 0.9505639552294988}","{39, 0.9506536111442005}","{40, 0.9507279152648743}","{41, 0.9507876567513884}","{42, 0.9508334777961582}","{43, 0.9508658562754151}","{44, 0.9508851593500117}","{45, 0.9508915758072551}"
"{0, 0.5447847495293382}","{1, 0.5582256666862843}","{2, 0.5894336792412332}","{3, 0.6246922084135728}","{4, 0.6571536397785784}","{5, 0.6849829880471233}","{6, 0.7082785467373243}","{7, 0.7276657173248372}","{8, 0.7438159911597367}","{9, 0.7573139709809119}","{10, 0.7686358565340845}","{11, 0.7781625145349298}","{12, 0.7861976948848509}","{13, 0.7929858204405834}","{14, 0.7987256751344672}","{15, 0.8035814672248618}","{16, 0.8076908313910365}","{17, 0.8111699536199833}","{18, 0.8141180294323721}","{19, 0.8166196884864394}","{20, 0.8187468439790114}","{21, 0.8205600723908454}","{22, 0.8221099457027469}","{23, 0.8234382371794353}","{24, 0.8245795426945917}","{25, 0.8255618075515764}","{26, 0.82640864397784}","{27, 0.827139320298045}","{28, 0.827770023889252}","{29, 0.8283144495201511}","{30, 0.8287840776249027}","{31, 0.8291888635836783}","{32, 0.8295370468042623}","{33, 0.8298360273247714}","{34, 0.8300919399718693}","{35, 0.8303102149411632}","{36, 0.8304953064481352}","{37, 0.8306514303960782}","{38, 0.8307818905434219}","{39, 0.8308894197827789}","{40, 0.8309766067960498}","{41, 0.8310453189414652}","{42, 0.831097190339604}","{43, 0.8311333434729198}","{44, 0.8311547695770963}","{45, 0.8311618813293915}"
"{0, 0.22931589436202404}","{1, 0.23276634856313902}","{2, 0.241760358016151}","{3, 0.2539518824696435}","{4, 0.26763200789015046}","{5, 0.28175854061859296}","{6, 0.295696791864957}","{7, 0.30905861133165413}","{8, 0.3216104270058436}","{9, 0.3332270812643851}","{10, 0.34385273349234347}","{11, 0.35348060351023874}","{12, 0.3621345381885734}","{13, 0.36985850183151797}","{14, 0.3767063753307003}","{15, 0.38275860789713134}","{16, 0.3880167260921341}","{17, 0.39260176319741297}","{18, 0.3965528853905183}","{19, 0.399926680985359}","{20, 0.40277800454754686}","{21, 0.4051600877848123}","{22, 0.40712528949464144}","{23, 0.40872475397085295}","{24, 0.4100099157041938}","{25, 0.41102566580798255}","{26, 0.41181764147369526}","{27, 0.4124240601191416}","{28, 0.41287821902319305}","{29, 0.41320886880145447}","{30, 0.4134387980174248}","{31, 0.41358878530249793}","{32, 0.4136736617868248}","{33, 0.41370878191243343}","{34, 0.41370510290973805}","{35, 0.413673414895348}","{36, 0.41362089444560374}","{37, 0.41356014131542573}","{38, 0.4134874308552576}","{39, 0.4134160806493112}","{40, 0.4133492231943865}","{41, 0.4132894355877659}","{42, 0.4132401588141755}","{43, 0.41320294833075943}","{44, 0.41318059742261787}","{45, 0.4131732726862795}"
