"{0.03, 0.0037918837165861717}","{0.04, 0.003977101040892587}","{0.05, 0.004323334123509907}","{0.06, 0.004782910655364501}","{0.07, 0.005298847241811379}","{0.08, 0.005833831073105336}","{0.09, 0.006367942213085183}","{0.1, 0.006891495283691415}","{0.11, 0.007400130509770633}","{0.12, 0.007892182134125915}","{0.13, 0.008367359968138857}","{0.14, 0.008826075270499226}","{0.15, 0.00926908617139037}","{0.16, 0.009697302385272671}","{0.17, 0.010111676665300837}","{0.18, 0.010513146165947184}","{0.19, 0.010902602071109732}","{0.2, 0.011280875276360697}","{0.21, 0.01164873187251467}","{0.22, 0.012006873885716253}","{0.23, 0.012355942342137282}","{0.24, 0.012696521945731721}","{0.25, 0.013029145974091216}","{0.26, 0.01335430125987492}","{0.27, 0.013672432669156428}","{0.28, 0.013983947603695875}","{0.29000000000000004, 0.014289219824646269}","{0.30000000000000004, 0.014588592873086356}","{0.31000000000000005, 0.014882383376656223}","{0.31999999999999995, 0.015170883639895862}","{0.32999999999999996, 0.01545436425345706}","{0.33999999999999997, 0.015733076252730877}","{0.35, 0.016007253091367885}","{0.36, 0.016277112413218765}","{0.37, 0.016542857520657313}","{0.38, 0.016804678928253887}","{0.39, 0.01706275545867977}","{0.4, 0.017317255499928037}","{0.41000000000000003, 0.01756833796121516}","{0.42000000000000004, 0.01781615323128579}","{0.43000000000000005, 0.01806084399683627}","{0.44000000000000006, 0.018302546003882623}","{0.44999999999999996, 0.01854138877177842}","{0.45999999999999996, 0.0187774962147134}","{0.47, 0.019010987188424918}","{0.48, 0.01924197601565149}","{0.49, 0.019470573000867814}","{0.5, 0.019696884775719084}","{0.51, 0.019921014699905072}","{0.52, 0.020143063236444596}","{0.53, 0.020363128196156263}","{0.54, 0.020581305013050555}","{0.55, 0.020797686995765282}","{0.56, 0.021012365484120447}","{0.5700000000000001, 0.021225430034162992}","{0.5800000000000001, 0.021436968553333206}","{0.5900000000000001, 0.021647067407253563}","{0.6000000000000001, 0.021855811529991418}","{0.61, 0.02206328445787662}","{0.62, 0.022269568406606165}","{0.63, 0.022474744286634898}","{0.64, 0.022678891744709006}","{0.65, 0.022882089134799683}","{0.66, 0.02308441355605679}","{0.67, 0.02328594077333745}","{0.68, 0.023486745270008554}","{0.6900000000000001, 0.023686900154812916}","{0.7000000000000001, 0.02388647715774102}","{0.7100000000000001, 0.024085546592055463}","{0.7200000000000001, 0.024284177293826995}","{0.7300000000000001, 0.02448243659939736}","{0.74, 0.024680390296727472}","{0.75, 0.024878102575611877}","{0.76, 0.025075635991489802}","{0.77, 0.02527305142868684}","{0.78, 0.025470408058301204}","{0.79, 0.025667763307377356}","{0.8, 0.025865172827464037}","{0.81, 0.02606269045934069}","{0.8200000000000001, 0.026260368229754798}","{0.8300000000000001, 0.02645825630516097}","{0.8400000000000001, 0.026656402987277103}","{0.8500000000000001, 0.026854854714264544}","{0.8600000000000001, 0.027053656032268534}","{0.87, 0.02725284960225025}","{0.88, 0.027452476197295607}","{0.89, 0.027652574721298655}","{0.9, 0.02785318219060379}","{0.91, 0.028054333765981553}","{0.92, 0.028256062766919474}","{0.93, 0.028458400679874672}","{0.9400000000000001, 0.028661377191203978}","{0.9500000000000001, 0.02886502020645736}","{0.9600000000000001, 0.029069355883543844}","{0.9700000000000001, 0.029274408646707134}","{0.9800000000000001, 0.029480201247878302}","{0.99, 0.02968675477024818}","{1., 0.029894088686670414}","{1., 0.029894088686670414}","{1.1, 0.03201355720352962}","{1.2, 0.03422208062156329}","{1.3, 0.03651915469526257}","{1.4, 0.03889745372114791}","{1.5, 0.04134624256626017}","{1.6, 0.043853804536523454}","{1.7000000000000002, 0.046408965149685774}","{1.8, 0.049001909288512835}","{1.9, 0.05162450416821995}","{2., 0.05427031000129616}","{2.1, 0.05693441612114412}","{2.2, 0.05961319799412445}","{2.3, 0.06230405589699172}","{2.4000000000000004, 0.06500517027525979}","{2.5, 0.06771529100824861}","{2.6, 0.07043356640094627}","{2.7, 0.07315941096957872}","{2.8, 0.07589240758726988}","{2.9000000000000004, 0.07863223812681198}","{3., 0.08137863658190118}","{3.1, 0.08413135916468155}","{3.2, 0.08689016670771975}","{3.3000000000000003, 0.08965481560936837}","{3.4000000000000004, 0.09242505442098785}","{3.5, 0.09520062392453883}","{3.6, 0.09798125916500186}","{3.7, 0.10076669238574137}","{3.8000000000000003, 0.10355665618467447}","{3.9000000000000004, 0.10635088647515667}","{4., 0.10914912502685674}"
"{0.03, 0.0033663604389120856}","{0.04, 0.0031944031340682875}","{0.05, 0.003031006963552433}","{0.06, 0.0029037048559893627}","{0.07, 0.0028330599370565385}","{0.08, 0.0028241178305063192}","{0.09, 0.0028707105474594756}","{0.1, 0.002962634917007596}","{0.11, 0.0030901943459166552}","{0.12, 0.0032458215561169935}","{0.13, 0.003424082095353151}","{0.14, 0.00362112678924859}","{0.15, 0.003834126213114176}","{0.16, 0.004060858944589687}","{0.17, 0.004299461500893354}","{0.18, 0.00454829452102236}","{0.19, 0.0048058795031661475}","{0.2, 0.0050708724319376945}","{0.21, 0.005342053528722226}","{0.22, 0.005618322699695834}","{0.23, 0.005898695493825807}","{0.24, 0.006182297858246274}","{0.25, 0.006468359460895205}","{0.26, 0.006756205962343489}","{0.27, 0.007045250683913483}","{0.28, 0.007334986163147142}","{0.29000000000000004, 0.007624975944090702}","{0.30000000000000004, 0.007914846819468647}","{0.31000000000000005, 0.00820428159944921}","{0.31999999999999995, 0.008493012627606348}","{0.32999999999999996, 0.008780815817563896}","{0.33999999999999997, 0.00906750541665934}","{0.35, 0.00935292928317462}","{0.36, 0.009636964761310375}","{0.37, 0.009919514980185756}","{0.38, 0.010200505643241922}","{0.39, 0.010479882161015192}","{0.4, 0.010757607121337855}","{0.41000000000000003, 0.01103365808924193}","{0.42000000000000004, 0.011308025627474329}","{0.43000000000000005, 0.011580711573200267}","{0.44000000000000006, 0.0118517275062331}","{0.44999999999999996, 0.012121093380365695}","{0.45999999999999996, 0.012388836323690994}","{0.47, 0.01265498958422269}","{0.48, 0.012919591554387207}","{0.49, 0.01318268495621669}","{0.5, 0.013444316070431117}","{0.51, 0.013704534087085555}","{0.52, 0.013963390507511853}","{0.53, 0.014220938623652727}","{0.54, 0.01447723304750537}","{0.55, 0.014732329306386294}","{0.56, 0.014986283475556765}","{0.5700000000000001, 0.015239151860962821}","{0.5800000000000001, 0.015490990716068399}","{0.5900000000000001, 0.015741855995159783}","{0.6000000000000001, 0.015991803138972287}","{0.61, 0.016240886889670837}","{0.62, 0.016489161126877483}","{0.63, 0.016736678736316703}","{0.64, 0.016983491490036123}","{0.65, 0.017229649944990478}","{0.66, 0.017475203370105757}","{0.67, 0.017720199674519415}","{0.68, 0.0179646853610383}","{0.6900000000000001, 0.01820870548135653}","{0.7000000000000001, 0.01845230361055973}","{0.7100000000000001, 0.01869552182962954}","{0.7200000000000001, 0.018938400708545543}","{0.7300000000000001, 0.01918097931340003}","{0.74, 0.019423295199725833}","{0.75, 0.019665384429246018}","{0.76, 0.019907281585447887}","{0.77, 0.02014901978410401}","{0.78, 0.020390630707518575}","{0.79, 0.020632144623213486}","{0.8, 0.020873590416531168}","{0.81, 0.02111499562015204}","{0.8200000000000001, 0.02135638644744453}","{0.8300000000000001, 0.02159778782922791}","{0.8400000000000001, 0.02183922344550767}","{0.8500000000000001, 0.022080715768316085}","{0.8600000000000001, 0.02232228609121087}","{0.87, 0.022563954571982448}","{0.88, 0.022805740271632735}","{0.89, 0.023047661189229227}","{0.9, 0.02328973429939666}","{0.91, 0.023531975589686626}","{0.92, 0.023774400101204338}","{0.93, 0.024017021961061154}","{0.9400000000000001, 0.02425985441856159}","{0.9500000000000001, 0.02450290988063077}","{0.9600000000000001, 0.02474619994665462}","{0.9700000000000001, 0.024989735444061294}","{0.9800000000000001, 0.025233526454560132}","{0.99, 0.025477582353433555}","{1., 0.025721911835179086}","{1., 0.025721911835179086}","{1.1, 0.028181738321491408}","{1.2, 0.030674481767150312}","{1.3, 0.03320148206068726}","{1.4, 0.035761792987992654}","{1.5, 0.03835323799073249}","{1.6, 0.040973066280545443}","{1.7000000000000002, 0.043618349293834256}","{1.8, 0.04628621245374098}","{1.9, 0.04897396378800937}","{2., 0.051679158449527696}","{2.1, 0.05439962373032166}","{2.2, 0.0571334600662202}","{2.3, 0.0598790278617313}","{2.4000000000000004, 0.06263492642644054}","{2.5, 0.06539996907701469}","{2.6, 0.06817315702363384}","{2.7, 0.07095365371136755}","{2.8, 0.07374076065432596}","{2.9000000000000004, 0.07653389535779966}","{3., 0.07933257162515082}","{3.1, 0.08213638233615833}","{3.2, 0.08494498464248101}","{3.3000000000000003, 0.08775808743430823}","{3.4000000000000004, 0.09057544087964307}","{3.5, 0.09339682780901619}","{3.6, 0.09622205671081735}","{3.7, 0.09905095610695361}","{3.8000000000000003, 0.10188337009460666}","{3.9000000000000004, 0.10471915485660933}","{4., 0.10755817596612864}"
"{0.03, 0.0002481041564656142}","{0.04, 0.00014063848846814633}","{0.05, 0.00009173722330109918}","{0.06, 0.00007271371803985824}","{0.07, 0.00008176789980284056}","{0.08, 0.00012442958724459639}","{0.09, 0.00020473790951308274}","{0.1, 0.00032239361668350323}","{0.11, 0.00047338334970159615}","{0.12, 0.0006517533359073324}","{0.13, 0.0008511967258845026}","{0.14, 0.0010660300862073977}","{0.15, 0.0012916112714718504}","{0.16, 0.00152439321555858}","{0.17, 0.0017617934871695124}","{0.18, 0.0020019998755782813}","{0.19, 0.0022437777245949155}","{0.2, 0.0024863070596351845}","{0.21, 0.0027290567165901554}","{0.22, 0.0029716926094245145}","{0.23, 0.003214013427119317}","{0.24, 0.0034559070422774864}","{0.25, 0.0036973214355673478}","{0.26, 0.003938245575711054}","{0.27, 0.004178696886695758}","{0.28, 0.004418712888619261}","{0.29000000000000004, 0.0046583455616751954}","{0.30000000000000004, 0.004897657289922802}","{0.31000000000000005, 0.005136717844024294}","{0.31999999999999995, 0.005375602024601141}","{0.32999999999999996, 0.005614387679778934}","{0.33999999999999997, 0.005853154076181541}","{0.35, 0.006091980426465359}","{0.36, 0.006330944687873227}","{0.37, 0.006570122479981169}","{0.38, 0.006809586201102591}","{0.39, 0.007049404312521364}","{0.4, 0.0072896407383580275}","{0.41000000000000003, 0.007530354449274745}","{0.42000000000000004, 0.007771599146987623}","{0.43000000000000005, 0.008013423079250659}","{0.44000000000000006, 0.008255868956530656}","{0.44999999999999996, 0.008498973961207173}","{0.45999999999999996, 0.00874276983473637}","{0.47, 0.00898728301998392}","{0.48, 0.009232534870849494}","{0.49, 0.009478541886213464}","{0.5, 0.009725315995773184}","{0.51, 0.00997286484082971}","{0.52, 0.010221192096301793}","{0.53, 0.010470297783539119}","{0.54, 0.010720178586692043}","{0.55, 0.010970828169687417}","{0.56, 0.011222237491111791}","{0.5700000000000001, 0.011474395097757465}","{0.5800000000000001, 0.011727287412827213}","{0.5900000000000001, 0.011980899013467444}","{0.6000000000000001, 0.012235212880721368}","{0.61, 0.012490210655715804}","{0.62, 0.01274587284854627}","{0.63, 0.013002179062142906}","{0.64, 0.013259108176550708}","{0.65, 0.01351663852935387}","{0.66, 0.013774748076825386}","{0.67, 0.014033414540405605}","{0.68, 0.014292615535385921}","{0.6900000000000001, 0.014552328693216671}","{0.7000000000000001, 0.01481253176246536}","{0.7100000000000001, 0.015073202706379038}","{0.7200000000000001, 0.015334319782331601}","{0.7300000000000001, 0.015595861611815592}","{0.74, 0.01585780724462486}","{0.75, 0.016120136211785544}","{0.76, 0.016382828567517264}","{0.77, 0.016645864926727923}","{0.78, 0.016909226498976852}","{0.79, 0.017172895105517862}","{0.8, 0.01743685320465182}","{0.81, 0.017701083900325786}","{0.8200000000000001, 0.017965570951620113}","{0.8300000000000001, 0.018230298779569925}","{0.8400000000000001, 0.018495252466272174}","{0.8500000000000001, 0.018760417751777256}","{0.8600000000000001, 0.019025781030602207}","{0.87, 0.0192913293469841}","{0.88, 0.01955705037754102}","{0.89, 0.019822932428449135}","{0.9, 0.02008896441794959}","{0.91, 0.020355135862786977}","{0.92, 0.02062143686204615}","{0.93, 0.020887858083737446}","{0.9400000000000001, 0.021154390743222}","{0.9500000000000001, 0.021421026590096454}","{0.9600000000000001, 0.021687757888101265}","{0.9700000000000001, 0.0219545773973306}","{0.9800000000000001, 0.022221478355035157}","{0.99, 0.022488454458420744}","{1., 0.022755499845231043}","{1., 0.022755499845231043}","{1.1, 0.025428754048609885}","{1.2, 0.028105096708200935}","{1.3, 0.03078340664525069}","{1.4, 0.033463921274794056}","{1.5, 0.03614750296091421}","{1.6, 0.03883521467024861}","{1.7000000000000002, 0.041528095640744105}","{1.8, 0.04422705565581325}","{1.9, 0.04693283507632057}","{2., 0.04964599910289669}","{2.1, 0.05236694855683201}","{2.2, 0.05509593772903279}","{2.3, 0.05783309445545658}","{2.4000000000000004, 0.06057844006172027}","{2.5, 0.06333190807449045}","{2.6, 0.06609336123621647}","{2.7, 0.06886260666040092}","{2.8, 0.07163940911670612}","{2.9000000000000004, 0.07442350250972997}","{3., 0.07721459965777942}","{3.1, 0.08001240049891192}","{3.2, 0.08281659886658738}","{3.3000000000000003, 0.08562688798270784}","{3.4000000000000004, 0.08844296481790669}","{3.5, 0.0912645334638102}","{3.6, 0.09409130765752759}","{3.7, 0.09692301258750506}","{3.8000000000000003, 0.09975938609989485}","{3.9000000000000004, 0.10260017941214412}","{4., 0.10544515742917851}"
"{0.03, 3.791504793824517*^-8}","{0.04, 2.406220259544676*^-8}","{0.05, 1.1459908633586648*^-7}","{0.06, 1.0913859832576021*^-6}","{0.07, 5.6215225931107855*^-6}","{0.08, 0.000018631915685814935}","{0.09, 0.000046050990052451596}","{0.1, 0.00009293193632945358}","{0.11, 0.0001621965425734922}","{0.12, 0.0002543665107354601}","{0.13, 0.0003680007463931097}","{0.14, 0.0005004130950684068}","{0.15, 0.0006483655561609942}","{0.16, 0.00080859413126491}","{0.17, 0.0009781394968058365}","{0.18, 0.0011545122288717238}","{0.19, 0.0013357402456507243}","{0.2, 0.001520343711008554}","{0.21, 0.0017072720028575214}","{0.22, 0.001895826330544156}","{0.23, 0.002085582275147176}","{0.24, 0.0022763198112595584}","{0.25, 0.002467964097343377}","{0.26, 0.0026605376863750195}","{0.27, 0.002854123395362246}","{0.28, 0.003048836460288974}","{0.29000000000000004, 0.0032448043747738352}","{0.30000000000000004, 0.003442152897271943}","{0.31000000000000005, 0.0036409968261224986}","{0.31999999999999995, 0.003841434410377456}","{0.32999999999999996, 0.004043544428014117}","{0.33999999999999997, 0.004247385194410743}","{0.35, 0.004452994872496338}","{0.36, 0.004660392696436049}","{0.37, 0.004869580715692475}","{0.38, 0.00508054583648017}","{0.39, 0.005293261976488702}","{0.4, 0.005507692221680781}","{0.41000000000000003, 0.005723790870119793}","{0.42000000000000004, 0.005941505349486346}","{0.43000000000000005, 0.006160777941569028}","{0.44000000000000006, 0.006381547328847209}","{0.44999999999999996, 0.006603749930851643}","{0.45999999999999996, 0.006827321065588381}","{0.47, 0.0070521959205984}","{0.48, 0.007278310363909664}","{0.49, 0.007505601605543093}","{0.5, 0.007734008714031794}","{0.51, 0.007963473026489113}","{0.52, 0.008193938450010173}","{0.53, 0.008425351668042372}","{0.54, 0.008657662279592785}","{0.55, 0.008890822870392103}","{0.56, 0.009124789025941858}","{0.5700000000000001, 0.009359519315203606}","{0.5800000000000001, 0.009594975222998183}","{0.5900000000000001, 0.009831121064016134}","{0.6000000000000001, 0.010067923875631107}","{0.61, 0.010305353295887778}","{0.62, 0.01054338142354873}","{0.63, 0.010781982679031434}","{0.64, 0.0110211336604571}","{0.65, 0.01126081299376262}","{0.66, 0.011501001190230451}","{0.67, 0.0117416805023853}","{0.68, 0.011982834788934164}","{0.6900000000000001, 0.012224449378966917}","{0.7000000000000001, 0.01246651094623567}","{0.7100000000000001, 0.01270900739032991}","{0.7200000000000001, 0.012951927722819327}","{0.7300000000000001, 0.013195261961101247}","{0.74, 0.013439001031070852}","{0.75, 0.013683136674171627}","{0.76, 0.013927661362662108}","{0.77, 0.014172568222824243}","{0.78, 0.014417850962762841}","{0.79, 0.01466350380731973}","{0.8, 0.01490952143796081}","{0.81, 0.015155898940512726}","{0.8200000000000001, 0.015402631754760686}","{0.8300000000000001, 0.01564971563219198}","{0.8400000000000001, 0.015897146595376145}","{0.8500000000000001, 0.01614492090268095}","{0.8600000000000001, 0.01639303501862203}","{0.87, 0.016641485583245866}","{0.88, 0.01689026939041516}","{0.89, 0.017139383363414192}","{0.9, 0.017388824538204013}","{0.91, 0.017638590045033247}","{0.92, 0.0178886770945785}","{0.93, 0.018139082966011064}","{0.9400000000000001, 0.018389804994391048}","{0.9500000000000001, 0.01864084056411342}","{0.9600000000000001, 0.018892187098857267}","{0.9700000000000001, 0.019143842055699}","{0.9800000000000001, 0.01939580292039965}","{0.99, 0.01964806720129235}","{1., 0.019900632426873566}","{1., 0.019900632426873566}","{1.1, 0.022442302721275103}","{1.2, 0.02501143907515253}","{1.3, 0.02760576914712558}","{1.4, 0.030223184832327235}","{1.5, 0.03286177163270943}","{1.6, 0.03551980657024106}","{1.7000000000000002, 0.03819573862652731}","{1.8, 0.04088816490848797}","{1.9, 0.04359580922062748}","{2., 0.04631750503152877}","{2.1, 0.04905218257277012}","{2.2, 0.051798859079734604}","{2.3, 0.05455663117194082}","{2.4000000000000004, 0.0573246685972035}","{2.5, 0.06010220881775961}","{2.6, 0.06288855211871841}","{2.7, 0.06568305705964972}","{2.8, 0.06848513617788017}","{2.9000000000000004, 0.07129425190256679}","{3., 0.07410991266750311}","{3.1, 0.07693166922171876}","{3.2, 0.07975911114266261}","{3.3000000000000003, 0.0825918635562071}","{3.4000000000000004, 0.08542958406652293}","{3.5, 0.08827195989543381}","{3.6, 0.09111870522890604}","{3.7, 0.09396955876476198}","{3.8000000000000003, 0.09682428145484138}","{3.9000000000000004, 0.09968265443274127}","{4., 0.10254447711645556}"
"{0.03, 7.590600187832169*^-11}","{0.04, 3.2260050798311757*^-10}","{0.05, 1.7477356932489555*^-8}","{0.06, 2.6138231746811854*^-7}","{0.07, 1.7163865144736094*^-6}","{0.08, 6.793615632865364*^-6}","{0.09, 0.000019265038159235875}","{0.1, 0.00004338641422726138}","{0.11, 0.00008282163403720113}","{0.12, 0.00013992753862225165}","{0.13, 0.00021555882007543505}","{0.14, 0.00030926824260561157}","{0.15, 0.0004196960628621446}","{0.16, 0.0005449825992174213}","{0.17, 0.0006831097127068454}","{0.18, 0.000832138088004654}","{0.19, 0.000990344577031981}","{0.2, 0.0011562806880894968}","{0.21, 0.001328777347773225}","{0.22, 0.0015069181120854968}","{0.23, 0.0016899975254705657}","{0.24, 0.0018774759650445596}","{0.25, 0.002068937537672411}","{0.26, 0.002264054413633921}","{0.27, 0.0024625586115335717}","{0.28, 0.002664221003767839}","{0.29000000000000004, 0.0028688366186318663}","{0.30000000000000004, 0.003076215003222575}","{0.31000000000000005, 0.0032861744895711542}","{0.31999999999999995, 0.003498539207621989}","{0.32999999999999996, 0.003713138017805923}","{0.33999999999999997, 0.003929804605328424}","{0.35, 0.004148378222626454}","{0.36, 0.0043687047339644085}","{0.37, 0.00459063766121738}","{0.38, 0.004814039126767007}","{0.39, 0.0050387805749033295}","{0.4, 0.005264743253059282}","{0.41000000000000003, 0.0054918184493104516}","{0.42000000000000004, 0.0057199074991975945}","{0.43000000000000005, 0.005948921597590718}","{0.44000000000000006, 0.006178781444511516}","{0.44999999999999996, 0.006409416772203115}","{0.45999999999999996, 0.0066407657777596395}","{0.47, 0.006872774489199307}","{0.48, 0.007105396113435415}","{0.49, 0.007338590355055779}","{0.5, 0.00757232275866528}","{0.51, 0.007806564054792044}","{0.52, 0.008041289552932386}","{0.53, 0.008276478561733044}","{0.54, 0.008512113853496771}","{0.55, 0.008748181178058064}","{0.56, 0.008984668816537932}","{0.5700000000000001, 0.009221567184469912}","{0.5800000000000001, 0.009458868478212104}","{0.5900000000000001, 0.009696566359762359}","{0.6000000000000001, 0.009934655687229758}","{0.61, 0.010173132274146334}","{0.62, 0.010411992686359036}","{0.63, 0.010651234067311178}","{0.64, 0.010890853992903437}","{0.65, 0.0111308503445124}","{0.66, 0.011371221209515123}","{0.67, 0.011611964796114668}","{0.68, 0.011853079367590903}","{0.6900000000000001, 0.012094563186777962}","{0.7000000000000001, 0.012336414477372425}","{0.7100000000000001, 0.012578631390054032}","{0.7200000000000001, 0.012821211981215162}","{0.7300000000000001, 0.013064154197760676}","{0.74, 0.013307455867622862}","{0.75, 0.013551114694348644}","{0.76, 0.013795128257989987}","{0.77, 0.01403949401613963}","{0.78, 0.01428420930971554}","{0.79, 0.014529271369706248}","{0.8, 0.014774677324728444}","{0.81, 0.015020424211485294}","{0.8200000000000001, 0.015266508982466833}","{0.8300000000000001, 0.015512928516967367}","{0.8400000000000001, 0.015759679631195966}","{0.8500000000000001, 0.016006759088139838}","{0.8600000000000001, 0.01625416360597729}","{0.87, 0.016501889869156426}","{0.88, 0.01674993453555341}","{0.89, 0.016998294245882003}","{0.9, 0.01724696563048018}","{0.91, 0.017495945317014722}","{0.92, 0.017745229937417874}","{0.93, 0.0179948161326633}","{0.9400000000000001, 0.01824470055925368}","{0.9500000000000001, 0.018494879893559295}","{0.9600000000000001, 0.0187453508361162}","{0.9700000000000001, 0.018996110115885208}","{0.9800000000000001, 0.019247154493372023}","{0.99, 0.019498480763400557}","{1., 0.01975008575756267}","{1., 0.01975008575756267}","{1.1, 0.022280798169725384}","{1.2, 0.02483621729409967}","{1.3, 0.027413889746908233}","{1.4, 0.030011743159204775}","{1.5, 0.03262801181954624}","{1.6, 0.03526117350287388}","{1.7000000000000002, 0.03790990205443741}","{1.8, 0.040573032309556875}","{1.9, 0.04324953347852196}","{2., 0.045938488287763604}","{2.1, 0.04863907620477091}","{2.2, 0.05135055971328966}","{2.3, 0.0540722729634188}","{2.4000000000000004, 0.056803612314965}","{2.5, 0.05954402841087707}","{2.6, 0.062293019495545214}","{2.7, 0.06505012575153497}","{2.8, 0.06781492447313771}","{2.9000000000000004, 0.07058702593084065}","{3., 0.07336606980993433}","{3.1, 0.07615172212830909}","{3.2, 0.07894367255710973}","{3.3000000000000003, 0.08174163208096366}","{3.4000000000000004, 0.08454533094713386}","{3.5, 0.08735451686053965}","{3.6, 0.09016895338975102}","{3.7, 0.09298841855436242}","{3.8000000000000003, 0.09581270356899949}","{3.9000000000000004, 0.09864161172353857}","{4., 0.10147495738108067}"
"{0.03, -3.795300093920981*^-11}","{0.04, 3.795300093917363*^-11}","{0.05, 4.174830103309178*^-9}","{0.06, 8.135225751312755*^-8}","{0.07, 6.466195093762473*^-7}","{0.08, 2.9552720917565118*^-6}","{0.09, 9.38186797316214*^-6}","{0.1, 0.000023157234636613092}","{0.11, 0.000047726524905545485}","{0.12, 0.00008610219181175915}","{0.13, 0.00014045465124787286}","{0.14, 0.00021198112232635846}","{0.15, 0.00030097862879056115}","{0.16, 0.0004070229331820912}","{0.17, 0.0005291766046800166}","{0.18, 0.0006661811834466855}","{0.19, 0.0008166134011101132}","{0.2, 0.0009790014634216656}","{0.21, 0.0011519052330861137}","{0.22, 0.0013339672652814888}","{0.23, 0.0015239418215421453}","{0.24, 0.0017207082813993045}","{0.25, 0.0019232739402303262}","{0.26, 0.0021307700259723295}","{0.27, 0.0023424436886658397}","{0.28, 0.0025576478492148544}","{0.29000000000000004, 0.0027758302368980797}","{0.30000000000000004, 0.0029965224049408466}","{0.31000000000000005, 0.0032193292403656314}","{0.31999999999999995, 0.0034439192652200626}","{0.32999999999999996, 0.0036700158400802293}","{0.33999999999999997, 0.003897389319936808}","{0.35, 0.004125850135776198}","{0.36, 0.0043552427467121076}","{0.37, 0.004585440383199214}","{0.38, 0.00481634050541967}","{0.39, 0.005047860889976474}","{0.4, 0.00527993628053865}","{0.41000000000000003, 0.005512515508010944}","{0.42000000000000004, 0.0057455590480495556}","{0.43000000000000005, 0.005979036928901758}","{0.44000000000000006, 0.006212926966002172}","{0.44999999999999996, 0.006447213257337996}","{0.45999999999999996, 0.00668188492329769}","{0.47, 0.006916935043536046}","{0.48, 0.007152359759597889}","{0.49, 0.007388157546542497}","{0.5, 0.007624328591910977}","{0.51, 0.00786087429121785}","{0.52, 0.008097796842920437}","{0.53, 0.008335098914699036}","{0.54, 0.008572783379121962}","{0.55, 0.00881085310794163}","{0.56, 0.009049310812425129}","{0.5700000000000001, 0.009288158926827932}","{0.5800000000000001, 0.009527399519365456}","{0.5900000000000001, 0.00976703423550895}","{0.6000000000000001, 0.010007064262326833}","{0.61, 0.010247490309139852}","{0.62, 0.010488312604036565}","{0.63, 0.010729530901805699}","{0.64, 0.010971144500167543}","{0.65, 0.011213152260532397}","{0.66, 0.011455552637057345}","{0.67, 0.01169834370585087}","{0.68, 0.011941523196256154}","{0.6900000000000001, 0.012185088525764316}","{0.7000000000000001, 0.012429036829590625}","{0.7100000000000001, 0.01267336499699746}","{0.7200000000000001, 0.01291806969798002}","{0.7300000000000001, 0.013163147416993181}","{0.74, 0.01340859447926727}","{0.75, 0.013654407076900313}","{0.76, 0.013900581294433}","{0.77, 0.014147113131084616}","{0.78, 0.014393998519398649}","{0.79, 0.014641233347033112}","{0.8, 0.014888813470811176}","{0.81, 0.015136734733062361}","{0.8200000000000001, 0.015384992974301182}","{0.8300000000000001, 0.01563358404519752}","{0.8400000000000001, 0.015882503815989133}","{0.8500000000000001, 0.016131748186864435}","{0.8600000000000001, 0.01638131309340371}","{0.87, 0.01663119451533176}","{0.88, 0.016881388479445106}","{0.89, 0.017131891066464913}","{0.9, 0.017382698412450243}","{0.91, 0.017633806713799077}","{0.92, 0.017885212227506303}","{0.93, 0.018136911273540817}","{0.9400000000000001, 0.018388900236915657}","{0.9500000000000001, 0.018641175567024933}","{0.9600000000000001, 0.018893733777601777}","{0.9700000000000001, 0.019146571448393334}","{0.9800000000000001, 0.01939968522396699}","{0.99, 0.019653071812495693}","{1., 0.019906727985784592}","{1., 0.019906727985784592}","{1.1, 0.022457449865595586}","{1.2, 0.02503200486367062}","{1.3, 0.02762801896388941}","{1.4, 0.030243490404137367}","{1.5, 0.03287670688218377}","{1.6, 0.03552618764735386}","{1.7000000000000002, 0.038190641408666584}","{1.8, 0.04086893417833152}","{1.9, 0.04356006385559475}","{2., 0.04626313976230518}","{2.1, 0.048977366001033605}","{2.2, 0.0517020278270102}","{2.3, 0.054436480417420156}","{2.4000000000000004, 0.05718013955306606}","{2.5, 0.059932473835473156}","{2.6, 0.06269299814254897}","{2.7, 0.06546126808968286}","{2.8, 0.06823687531468732}","{2.9000000000000004, 0.07101944344047578}","{3., 0.0738086246004118}","{3.1, 0.07660409643329952}","{3.2, 0.07940555947269846}","{3.3000000000000003, 0.08221273486871916}","{3.4000000000000004, 0.08502536239255135}","{3.5, 0.08784319868152281}","{3.6, 0.09066601568994319}","{3.7, 0.09349359931767055}","{3.8000000000000003, 0.09632574819140609}","{3.9000000000000004, 0.09916227257854031}","{4., 0.10200299341650193}"
