"{0.03, 0.0746026128999808}","{0.04, 0.05948588194376395}","{0.05, 0.06957930060912214}","{0.06, 0.0931132492814429}","{0.07, 0.12260154755443291}","{0.08, 0.15391099435669997}","{0.09, 0.1849504825061597}","{0.1, 0.21471695883789904}","{0.11, 0.24275951477923632}","{0.12, 0.26890680807755457}","{0.13, 0.29313102722952233}","{0.14, 0.3154784799226672}","{0.15, 0.3360328844084813}","{0.16, 0.35489535495836166}","{0.17, 0.3721733211487243}","{0.18, 0.3879744156229021}","{0.19, 0.40240318959143623}","{0.2, 0.41555945043701314}","{0.21, 0.4275375249879706}","{0.22, 0.4384260418020664}","{0.23, 0.4483079950290357}","{0.24, 0.4572609523660739}","{0.25, 0.4653573287716587}","{0.26, 0.47266468246493015}","{0.27, 0.47924601010840523}","{0.28, 0.48516002980951467}","{0.29000000000000004, 0.49046144719547824}","{0.30000000000000004, 0.49520120342510887}","{0.31000000000000005, 0.4994267058438089}","{0.31999999999999995, 0.5031820428253349}","{0.32999999999999996, 0.5065081846070705}","{0.33999999999999997, 0.5094431718867031}","{0.35, 0.5120222937567837}","{0.36, 0.5142782562998027}","{0.37, 0.516241342903559}","{0.38, 0.5179395671095479}","{0.39, 0.5193988185911229}","{0.4, 0.5206430026800781}","{0.41000000000000003, 0.5216941737176947}","{0.42000000000000004, 0.5225726623994738}","{0.43000000000000005, 0.5232971972081234}","{0.44000000000000006, 0.5238850199797835}","{0.44999999999999996, 0.5243519956234448}","{0.45999999999999996, 0.524712716004948}","{0.47, 0.5249805980133497}","{0.48, 0.5251679758425208}","{0.49, 0.5252861875444964}","{0.5, 0.525345655936996}","{0.51, 0.5253559639770026}","{0.52, 0.5253259247393782}","{0.53, 0.5252636461677678}","{0.54, 0.5251765907884585}","{0.55, 0.5250716305990333}","{0.56, 0.5249550973616112}","{0.5700000000000001, 0.5248328285431588}","{0.5800000000000001, 0.5247102091558157}","{0.5900000000000001, 0.5245922097551258}","{0.6000000000000001, 0.5244834208576271}","{0.61, 0.5243880840370615}","{0.62, 0.5243101199557796}","{0.63, 0.5242531535815242}","{0.64, 0.5242205368310872}","{0.65, 0.5242153688734211}","{0.66, 0.5242405143126315}","{0.67, 0.5242986194595975}","{0.68, 0.5243921268883485}","{0.6900000000000001, 0.524523288459421}","{0.7000000000000001, 0.5246941769799225}","{0.7100000000000001, 0.5249066966558864}","{0.7200000000000001, 0.5251625924801427}","{0.7300000000000001, 0.5254634586856706}","{0.74, 0.5258107463825147}","{0.75, 0.5262057704846619}","{0.76, 0.5266497160219717}","{0.77, 0.5271436439223576}","{0.78, 0.5276884963394666}","{0.79, 0.5282851015921421}","{0.8, 0.5289341787740602}","{0.81, 0.5296363420840257}","{0.8200000000000001, 0.5303921049209077}","{0.8300000000000001, 0.5312018837806687}","{0.8400000000000001, 0.5320660019877814}","{0.8500000000000001, 0.5329846932878389}","{0.8600000000000001, 0.5339581053243614}","{0.87, 0.5349863030181508}","{0.88, 0.5360692718647485}","{0.89, 0.5372069211621369}","{0.9, 0.5383990871783181}","{0.91, 0.539645536266239}","{0.92, 0.5409459679313623}","{0.93, 0.5423000178558254}","{0.9400000000000001, 0.5437072608815909}","{0.9500000000000001, 0.5451672139538086}","{0.9600000000000001, 0.5466793390247946}","{0.9700000000000001, 0.5482430459182914}","{0.9800000000000001, 0.5498576951528645}","{0.99, 0.5515226007231165}","{1., 0.5532370328369379}","{1., 0.5532370328369379}","{1.1, 0.5729186877319147}","{1.2, 0.5965218227223618}","{1.3, 0.6229620941953458}","{1.4, 0.6511609394977372}","{1.5, 0.680150428763879}","{1.6, 0.7091258092660295}","{1.7000000000000002, 0.737460526729603}","{1.8, 0.7646976258233592}","{1.9, 0.7905284629265643}","{2., 0.814766369673525}","{2.1, 0.8373200775984455}","{2.2, 0.8581695844590567}","{2.3, 0.8773456808882016}","{2.4000000000000004, 0.8949134342373266}","{2.5, 0.9109594005658032}","{2.6, 0.9255820787513599}","{2.7, 0.9388850335900768}","{2.8, 0.9509721261398234}","{2.9000000000000004, 0.9619443512686221}","{3., 0.9718978639319164}","{3.1, 0.9809228592565407}","{3.2, 0.9891030476539583}","{3.3000000000000003, 0.9965155308753807}","{3.4000000000000004, 1.0032309372739148}","{3.5, 1.009313715371152}","{3.6, 1.0148225157270696}","{3.7, 1.0198106138961207}","{3.8000000000000003, 1.0243263436557961}","{3.9000000000000004, 1.0284135212353445}","{4., 1.0321118492054446}"
"{0.03, 0.0006284379778755932}","{0.04, 0.0005575786984638136}","{0.05, 0.0018184899611737896}","{0.06, 0.005973414955264875}","{0.07, 0.01413516950398577}","{0.08, 0.02637094958220665}","{0.09, 0.04199728330158216}","{0.1, 0.06007691007692911}","{0.11, 0.07974137864678484}","{0.12, 0.1003135447196719}","{0.13, 0.1213133288688348}","{0.14, 0.1424186104961848}","{0.15, 0.16341954581703655}","{0.16, 0.1841808598037616}","{0.17, 0.20461490140064742}","{0.18, 0.22466385529073793}","{0.19, 0.2442885547809363}","{0.2, 0.263461659021092}","{0.21, 0.28216356775366525}","{0.22, 0.30037999463103227}","{0.23, 0.31810052160478947}","{0.24, 0.3353177238694712}","{0.25, 0.3520266227043339}","{0.26, 0.36822432534932154}","{0.27, 0.3839097713103365}","{0.28, 0.39908353952370523}","{0.29000000000000004, 0.41374769091063607}","{0.30000000000000004, 0.4279056322547826}","{0.31000000000000005, 0.44156199372266486}","{0.31999999999999995, 0.4547225158904883}","{0.32999999999999996, 0.46739394406631585}","{0.33999999999999997, 0.4795839287299015}","{0.35, 0.4913009314465432}","{0.36, 0.5025541358812953}","{0.37, 0.5133533636665202}","{0.38, 0.5237089949339523}","{0.39, 0.5336318933462595}","{0.4, 0.5431333354707255}","{0.41000000000000003, 0.552224944344433}","{0.42000000000000004, 0.5609186270829344}","{0.43000000000000005, 0.5692265163896091}","{0.44000000000000006, 0.5771609158281451}","{0.44999999999999996, 0.5847342487266889}","{0.45999999999999996, 0.5919590105884582}","{0.47, 0.5988477248883319}","{0.48, 0.6054129021402794}","{0.49, 0.6116670021235602}","{0.5, 0.6176223991584717}","{0.51, 0.6232913503235141}","{0.52, 0.6286859665070031}","{0.53, 0.6338181861860624}","{0.54, 0.6386997518246096}","{0.55, 0.6433421887819563}","{0.56, 0.6477567866217652}","{0.5700000000000001, 0.6519545827102684}","{0.5800000000000001, 0.6559463479917367}","{0.5900000000000001, 0.6597425748279616}","{0.6000000000000001, 0.6633534667884666}","{0.61, 0.666788930277841}","{0.62, 0.6700585678871399}","{0.63, 0.6731716733566906}","{0.64, 0.6761372280397645}","{0.65, 0.6789638987570883}","{0.66, 0.6816600369357071}","{0.67, 0.6842336789273467}","{0.68, 0.6866925474046901}","{0.6900000000000001, 0.6890440537375626}","{0.7000000000000001, 0.6912953012543429}","{0.7100000000000001, 0.6934530892976525}","{0.7200000000000001, 0.6955239179882579}","{0.7300000000000001, 0.6975139936140161}","{0.74, 0.6994292345665329}","{0.75, 0.7012752777513562}","{0.76, 0.7030574854028007}","{0.77, 0.7047809522387439}","{0.78, 0.7064505128948104}","{0.79, 0.7080707495822915}","{0.8, 0.7096459999179504}","{0.81, 0.711180364878318}","{0.8200000000000001, 0.7126777168347974}","{0.8300000000000001, 0.7141417076301483}","{0.8400000000000001, 0.715575776660312}","{0.8500000000000001, 0.7169831589292048}","{0.8600000000000001, 0.7183668930475237}","{0.87, 0.7197298291496557}","{0.88, 0.7210746367059322}","{0.89, 0.7224038122101412}","{0.9, 0.7237196867248576}","{0.91, 0.7250244332697555}","{0.92, 0.7263200740400594}","{0.93, 0.7276084874445284}","{0.9400000000000001, 0.7288914149544083}","{0.9500000000000001, 0.7301704677561894}","{0.9600000000000001, 0.7314471332030358}","{0.9700000000000001, 0.7327227810608322}","{0.9800000000000001, 0.7339986695463581}","{0.99, 0.7352759511561912}","{1., 0.7365556782859373}","{1., 0.7365556782859373}","{1.1, 0.7496576249840822}","{1.2, 0.7636012049283654}","{1.3, 0.7784541255437198}","{1.4, 0.7940376864848956}","{1.5, 0.8100777605838003}","{1.6, 0.8262859935089372}","{1.7000000000000002, 0.842399692174572}","{1.8, 0.8581984185972272}","{1.9, 0.8735080638553085}","{2., 0.8881986086835622}","{2.1, 0.9021790405226451}","{2.2, 0.9153913078982095}","{2.3, 0.9278042898546927}","{2.4000000000000004, 0.9394082535204866}","{2.5, 0.9502099958511809}","{2.6, 0.9602287171493358}","{2.7, 0.9694925975862707}","{2.8, 0.978036011700557}","{2.9000000000000004, 0.9858973017265098}","{3., 0.9931170284829357}","{3.1, 0.9997366227084059}","{3.2, 1.0057973669228524}","{3.3000000000000003, 1.011339646286119}","{3.4000000000000004, 1.0164024154746676}","{3.5, 1.0210228367366605}","{3.6, 1.0252360517184071}","{3.7, 1.0290750562521176}","{3.8000000000000003, 1.032570653026368}","{3.9000000000000004, 1.0357514619555477}","{4., 1.0386439721851959}"
"{0.03, 3.8100541377162012*^-6}","{0.04, 8.219875954117066*^-6}","{0.05, 0.00010789125339889333}","{0.06, 0.0006714631944677634}","{0.07, 0.0023796481358591024}","{0.08, 0.005937279811801878}","{0.09, 0.011772010245473693}","{0.1, 0.019941825645476485}","{0.11, 0.030214753090120405}","{0.12, 0.04220469527390704}","{0.13, 0.05548722100595168}","{0.14, 0.06967131425642954}","{0.15, 0.0844318799218415}","{0.16, 0.09951644800071408}","{0.17, 0.11473835975106421}","{0.18, 0.12996475764642806}","{0.19, 0.14510403412974607}","{0.2, 0.16009486855248667}","{0.21, 0.17489751607575155}","{0.22, 0.1894872833922119}","{0.23, 0.203849834536326}","{0.24, 0.21797790694960667}","{0.25, 0.23186905748930367}","{0.26, 0.2455241323664819}","{0.27, 0.2589462314417621}","{0.28, 0.2721400027377328}","{0.29000000000000004, 0.2851111540192997}","{0.30000000000000004, 0.297866105760902}","{0.31000000000000005, 0.3104117362098283}","{0.31999999999999995, 0.32275518721883717}","{0.32999999999999996, 0.33490371138474306}","{0.33999999999999997, 0.34686454863988814}","{0.35, 0.3586448251706318}","{0.36, 0.3702514703750823}","{0.37, 0.3816911491989194}","{0.38, 0.3929702080696757}","{0.39, 0.40409463309051086}","{0.4, 0.4150700193467622}","{0.41000000000000003, 0.4259015502484176}","{0.42000000000000004, 0.43659398584336867}","{0.43000000000000005, 0.4471516590407723}","{0.44000000000000006, 0.4575784786908181}","{0.44999999999999996, 0.4678779384929894}","{0.45999999999999996, 0.4780531307487014}","{0.47, 0.4881067640327147}","{0.48, 0.4980411839284803}","{0.49, 0.5078583960531743}","{0.5, 0.517560090680842}","{0.51, 0.5271476683572196}","{0.52, 0.5366222659824539}","{0.53, 0.5459847829169666}","{0.54, 0.5552359067395489}","{0.55, 0.56437613835446}","{0.56, 0.5734058162051494}","{0.5700000000000001, 0.5823251394067831}","{0.5800000000000001, 0.5911341896570402}","{0.5900000000000001, 0.5998329518264619}","{0.6000000000000001, 0.6084213331640281}","{0.61, 0.6168991810844628}","{0.62, 0.6252662995278616}","{0.63, 0.6335224639030383}","{0.64, 0.6416674346421795}","{0.65, 0.6497009694079039}","{0.66, 0.6576228340031711}","{0.67, 0.6654328120429202}","{0.68, 0.6731307134509066}","{0.6900000000000001, 0.6807163818491798}","{0.7000000000000001, 0.6881897009097371}","{0.7100000000000001, 0.6955505997382787}","{0.7200000000000001, 0.7027990573603942}","{0.7300000000000001, 0.7099351063787788}","{0.74, 0.7169588358690034}","{0.75, 0.723870393578927}","{0.76, 0.7306699874941556}","{0.77, 0.7373578868295211}","{0.78, 0.7439344225031742}","{0.79, 0.7503999871470449}","{0.8, 0.7567550347041067}","{0.81, 0.7630000796597387}","{0.8200000000000001, 0.7691356959514147}","{0.8300000000000001, 0.775162515597727}","{0.8400000000000001, 0.7810812270849401}","{0.8500000000000001, 0.7868925735461109}","{0.8600000000000001, 0.7925973507652964}","{0.87, 0.7981964050365484}","{0.88, 0.803690630904819}","{0.89, 0.8090809688136792}","{0.9, 0.8143684026823464}","{0.91, 0.8195539574322601}","{0.92, 0.8246386964818585}","{0.93, 0.8296237192257604}","{0.9400000000000001, 0.8345101585133151}","{0.9500000000000001, 0.8392991781395154}","{0.9600000000000001, 0.8439919703598884}","{0.9700000000000001, 0.8485897534396069}","{0.9800000000000001, 0.8530937692456729}","{0.99, 0.8575052808898476}","{1., 0.861825570428975}","{1., 0.861825570428975}","{1.1, 0.9003025844202439}","{1.2, 0.9311317221661293}","{1.3, 0.9556286157447624}","{1.4, 0.9749904351189194}","{1.5, 0.990251147731539}","{1.6, 1.0022733821038194}","{1.7000000000000002, 1.0117600508356597}","{1.8, 1.0192745492454793}","{1.9, 1.025263072697812}","{2., 1.0300757811652883}","{2.1, 1.033985430069324}","{2.2, 1.0372031006091205}","{2.3, 1.0398911515109996}","{2.4000000000000004, 1.0421737141546066}","{2.5, 1.0441451064734115}","{2.6, 1.0458765266584509}","{2.7, 1.0474213464236521}","{2.8, 1.0488192753153112}","{2.9000000000000004, 1.0500996211581692}","{3., 1.0512838306442958}","{3.1, 1.0523874591375948}","{3.2, 1.0534216897216382}","{3.3000000000000003, 1.0543944976834316}","{3.4000000000000004, 1.0553115372256159}","{3.5, 1.056176811497646}","{3.6, 1.0569931743813137}","{3.7, 1.0577627023022251}","{3.8000000000000003, 1.0584869662021035}","{3.9000000000000004, 1.0591672273122694}","{4., 1.0598045752007297}"
"{0.03, 9.006425027560417*^-10}","{0.04, 1.7338202106297225*^-7}","{0.05, 6.719426856025056*^-6}","{0.06, 0.00007204180402287086}","{0.07, 0.00037386547767232793}","{0.08, 0.001240287819052634}","{0.09, 0.003065914510914043}","{0.1, 0.006186528124238492}","{0.11, 0.010794813676438012}","{0.12, 0.01692175553227478}","{0.13, 0.024465239130812104}","{0.14, 0.0332377615190546}","{0.15, 0.04301295585135488}","{0.16, 0.053561293909986325}","{0.17, 0.0646729198558322}","{0.18, 0.07616942763290206}","{0.19, 0.087907651438403}","{0.2, 0.0997784256270089}","{0.21, 0.11170262886007792}","{0.22, 0.12362610860487323}","{0.23, 0.1355144765832122}","{0.24, 0.14734832241416837}","{0.25, 0.1591190975618489}","{0.26, 0.17082574072184373}","{0.27, 0.18247201437268426}","{0.28, 0.1940644723959083}","{0.29000000000000004, 0.2056109601912108}","{0.30000000000000004, 0.21711954797928926}","{0.31000000000000005, 0.22859780634807259}","{0.31999999999999995, 0.24005234534072792}","{0.32999999999999996, 0.2514885515277771}","{0.33999999999999997, 0.2629104699720899}","{0.35, 0.2743207890548931}","{0.36, 0.2857208955336467}","{0.37, 0.2971109749668029}","{0.38, 0.3084901389097786}","{0.39, 0.31985656526038186}","{0.4, 0.33120764201793634}","{0.41000000000000003, 0.34254010771419857}","{0.42000000000000004, 0.35385018404834767}","{0.43000000000000005, 0.36513369796076633}","{0.44000000000000006, 0.3763861916354687}","{0.44999999999999996, 0.38760301982617995}","{0.45999999999999996, 0.39877943453983566}","{0.47, 0.4099106575458398}","{0.48, 0.420991941461355}","{0.49, 0.4320186203310794}","{0.5, 0.4429861507052306}","{0.51, 0.4538901442454166}","{0.52, 0.464726392871976}","{0.53, 0.47549088742259343}","{0.54, 0.48617983073034343}","{0.55, 0.49678964595675257}","{0.56, 0.5073169809383014}","{0.5700000000000001, 0.5177587092266149}","{0.5800000000000001, 0.5281119284254914}","{0.5900000000000001, 0.5383739563552963}","{0.6000000000000001, 0.5485423255058917}","{0.61, 0.5586147761767664}","{0.62, 0.5685892486448237}","{0.63, 0.5784638746485659}","{0.64, 0.5882369684310447}","{0.65, 0.5979070175426846}","{0.66, 0.6074726735691418}","{0.67, 0.6169327429175107}","{0.68, 0.6262861777675548}","{0.6900000000000001, 0.6355320672703532}","{0.7000000000000001, 0.6446696290572915}","{0.7100000000000001, 0.6536982011052332}","{0.7200000000000001, 0.6626172339892378}","{0.7300000000000001, 0.6714262835425807}","{0.74, 0.6801250039338982}","{0.75, 0.6887131411633757}","{0.76, 0.6971905269733821}","{0.77, 0.7055570731641484}","{0.78, 0.7138127663009387}","{0.79, 0.721957662796352}","{0.8, 0.7299918843494009}","{0.81, 0.7379156137213655}","{0.8200000000000001, 0.7457290908279457}","{0.8300000000000001, 0.7534326091264351}","{0.8400000000000001, 0.7610265122771249}","{0.8500000000000001, 0.7685111910580864}","{0.8600000000000001, 0.7758870805132554}","{0.87, 0.7831546573144927}","{0.88, 0.7903144373190105}","{0.89, 0.7973669733047265}","{0.9, 0.8043128528670731}","{0.91, 0.8111526964617921}","{0.92, 0.8178871555795102}","{0.93, 0.8245169110387871}","{0.9400000000000001, 0.8310426713855721}","{0.9500000000000001, 0.83746517138795}","{0.9600000000000001, 0.8437851706159997}","{0.9700000000000001, 0.8500034520977661}","{0.9800000000000001, 0.856120821042978}","{0.99, 0.8621381036271699}","{1., 0.86805614582967}","{1., 0.86805614582967}","{1.1, 0.9219765064186751}","{1.2, 0.9670118923999138}","{1.3, 1.0041885112177944}","{1.4, 1.0345483350821538}","{1.5, 1.0590937380184087}","{1.6, 1.0787494207403787}","{1.7000000000000002, 1.0943406227067334}","{1.8, 1.1065847592632345}","{1.9, 1.1160927750280378}","{2., 1.123376645327949}","{2.1, 1.1288601319393692}","{2.2, 1.1328907174403249}","{2.3, 1.1357513817632383}","{2.4000000000000004, 1.1376714587200503}","{2.5, 1.1388362123296132}","{2.6, 1.139395030774383}","{2.7, 1.1394682868820731}","{2.8, 1.1391529921015044}","{2.9000000000000004, 1.1385274025760033}","{3., 1.137654740065466}","{3.1, 1.1365861797844248}","{3.2, 1.1353632396886582}","{3.3000000000000003, 1.1340196861039837}","{3.4000000000000004, 1.1325830514742297}","{3.5, 1.1310758427098162}","{3.6, 1.1295165036511168}","{3.7, 1.127920182583212}","{3.8000000000000003, 1.1262993453834025}","{3.9000000000000004, 1.1246642664806747}","{4., 1.123023423061398}"
"{0.03, 1.5751977928860834*^-11}","{0.04, 1.8341325124284654*^-8}","{0.05, 1.1674634037191532*^-6}","{0.06, 0.000017403946113414327}","{0.07, 0.00011429307729357959}","{0.08, 0.00045237748967483563}","{0.09, 0.0012828004323467463}","{0.1, 0.0028888022080150464}","{0.11, 0.005513872460854905}","{0.12, 0.009313761647447273}","{0.13, 0.014343075035756936}","{0.14, 0.020568256293875296}","{0.15, 0.02789337425280639}","{0.16, 0.03618767519011602}","{0.17, 0.045308606937454164}","{0.18, 0.05511802846839871}","{0.19, 0.06549179769354603}","{0.2, 0.07632407976720032}","{0.21, 0.08752800190743286}","{0.22, 0.09903411236890482}","{0.23, 0.11078776049757716}","{0.24, 0.12274615869241888}","{0.25, 0.13487558708101935}","{0.26, 0.14714897886171885}","{0.27, 0.15954397430133882}","{0.28, 0.17204144000160917}","{0.29000000000000004, 0.18462440116239792}","{0.30000000000000004, 0.197277314019815}","{0.31000000000000005, 0.20998560244946377}","{0.31999999999999995, 0.22273538908726592}","{0.32999999999999996, 0.23551336205919737}","{0.33999999999999997, 0.24830673033817935}","{0.35, 0.2611032320693016}","{0.36, 0.2738911700462031}","{0.37, 0.2866594565803899}","{0.38, 0.2993976562971692}","{0.39, 0.3120960201065315}","{0.4, 0.324745506986506}","{0.41000000000000003, 0.33733779254635277}","{0.42000000000000004, 0.3498652648501991}","{0.43000000000000005, 0.3623210088860744}","{0.44000000000000006, 0.3746987815349206}","{0.44999999999999996, 0.3869929790607694}","{0.45999999999999996, 0.39919859911235994}","{0.47, 0.41131119907309927}","{0.48, 0.42332685237576584}","{0.49, 0.43524210414897896}","{0.5, 0.4470539273100301}","{0.51, 0.458759679979033}","{0.52, 0.4703570648720171}","{0.53, 0.48184409114044574}","{0.54, 0.4932190389629229}","{0.55, 0.5044804270610026}","{0.56, 0.5156269832027309}","{0.5700000000000001, 0.5266576176729566}","{0.5800000000000001, 0.537571399624824}","{0.5900000000000001, 0.5483675361795649}","{0.6000000000000001, 0.5590453541088583}","{0.61, 0.5696042839131894}","{0.62, 0.5800438460980641}","{0.63, 0.5903636394459841}","{0.64, 0.6005633310838431}","{0.65, 0.6106426481513696}","{0.66, 0.6206013708854602}","{0.67, 0.6304393269461706}","{0.68, 0.6401563868228989}","{0.6900000000000001, 0.6497524601722116}","{0.7000000000000001, 0.6592274929521007}","{0.7100000000000001, 0.6685814652308344}","{0.7200000000000001, 0.6778143895609808}","{0.7300000000000001, 0.6869263098215688}","{0.74, 0.6959173004425536}","{0.75, 0.7047874659364108}","{0.76, 0.713536940671246}","{0.77, 0.7221658888288486}","{0.78, 0.7306745044988595}","{0.79, 0.739063011867688}","{0.8, 0.7473316654669083}","{0.81, 0.7554807504519184}","{0.8200000000000001, 0.7635105828862253}","{0.8300000000000001, 0.7714215100116415}","{0.8400000000000001, 0.7792139104879985}","{0.8500000000000001, 0.7868881945897651}","{0.8600000000000001, 0.7944448043495377}","{0.87, 0.8018842136410403}","{0.88, 0.809206928196293}","{0.89, 0.8164134855533859}","{0.9, 0.8235044549329787}","{0.91, 0.8304804370426655}","{0.92, 0.8373420638096379}","{0.93, 0.8440899980427689}","{0.9400000000000001, 0.8507249330261143}","{0.9500000000000001, 0.8572475920461938}","{0.9600000000000001, 0.8636587278560804}","{0.9700000000000001, 0.8699591220794893}","{0.9800000000000001, 0.8761495845584829}","{0.99, 0.8822309526483689}","{1., 0.888204090463769}","{1., 0.888204090463769}","{1.1, 0.9421903321673946}","{1.2, 0.9864679981928904}","{1.3, 1.022194149905893}","{1.4, 1.050579145673547}","{1.5, 1.0728025248225852}","{1.6, 1.0899531486791325}","{1.7000000000000002, 1.1029945211863201}","{1.8, 1.1127512904420298}","{1.9, 1.1199110047686822}","{2., 1.1250352811656403}","{2.1, 1.1285756579129889}","{2.2, 1.1308908101399973}","{2.3, 1.1322630828703557}","{2.4000000000000004, 1.1329132697144024}","{2.5, 1.1330132218227966}","{2.6, 1.1326962670488172}","{2.7, 1.1320656276766805}","{2.8, 1.1312011129096236}","{2.9000000000000004, 1.1301643795249787}","{3., 1.1290030344102389}","{3.1, 1.1277538169775811}","{3.2, 1.1264450596220417}","{3.3000000000000003, 1.1250985865808973}","{3.4000000000000004, 1.1237311784580593}","{3.5, 1.1223557020655197}","{3.6, 1.1209819828944252}","{3.7, 1.119617479824909}","{3.8000000000000003, 1.1182678078514188}","{3.9000000000000004, 1.1169371438974771}","{4., 1.1156285425665793}"
"{0.03, 1.3898804054877246*^-12}","{0.04, 2.928478014362658*^-9}","{0.05, 2.782383052007147*^-7}","{0.06, 5.416869856653289*^-6}","{0.07, 0.00004305776133680245}","{0.08, 0.00019678870596558136}","{0.09, 0.0006247219097673656}","{0.1, 0.0015419579485019634}","{0.11, 0.003177750008942563}","{0.12, 0.005732253104393886}","{0.13, 0.00934900366719722}","{0.14, 0.01410589436037526}","{0.15, 0.020019783042642285}","{0.16, 0.027058261012638432}","{0.17, 0.03515350470699874}","{0.18, 0.04421519185244613}","{0.19, 0.05414112384411868}","{0.2, 0.0648252373411397}","{0.21, 0.07616322337952249}","{0.22, 0.08805618269097923}","{0.23, 0.10041277890965619}","{0.24, 0.11315030258416882}","{0.25, 0.12619498217323832}","{0.26, 0.13948180016897313}","{0.27, 0.1529540043575567}","{0.28, 0.16656244924301425}","{0.29000000000000004, 0.18026486039170178}","{0.30000000000000004, 0.19402508307401936}","{0.31000000000000005, 0.20781235392544403}","{0.31999999999999995, 0.22160061841364542}","{0.32999999999999996, 0.235367905985962}","{0.33999999999999997, 0.24909576753005333}","{0.35, 0.2627687751559852}","{0.36, 0.276374081519649}","{0.37, 0.2899010343651023}","{0.38, 0.30334084125118005}","{0.39, 0.3166862792438592}","{0.4, 0.3299314444945074}","{0.41000000000000003, 0.3430715369429257}","{0.42000000000000004, 0.35610267579309623}","{0.43000000000000005, 0.3690217418465772}","{0.44000000000000006, 0.3818262432118457}","{0.44999999999999996, 0.39451420131475773}","{0.45999999999999996, 0.40708405450739776}","{0.47, 0.4195345769069035}","{0.48, 0.43186481039136143}","{0.49, 0.4440740079408073}","{0.5, 0.4561615867395084}","{0.51, 0.4681270896560029}","{0.52, 0.47997015389231296}","{0.53, 0.49169048574742175}","{0.54, 0.5032878405751754}","{0.55, 0.5147620071347964}","{0.56, 0.5261127956371306}","{0.5700000000000001, 0.5373400288816672}","{0.5800000000000001, 0.5484435359601544}","{0.5900000000000001, 0.559423148074801}","{0.6000000000000001, 0.5702786960817519}","{0.61, 0.5810100094260916}","{0.62, 0.5916169161835718}","{0.63, 0.6020992439670726}","{0.64, 0.61245682149297}","{0.65, 0.6226894806356682}","{0.66, 0.632797058826611}","{0.67, 0.6427794016787665}","{0.68, 0.6526363657389246}","{0.6900000000000001, 0.6623678212881977}","{0.7000000000000001, 0.6719736551267883}","{0.7100000000000001, 0.6814537732923504}","{0.7200000000000001, 0.6908081036725082}","{0.7300000000000001, 0.7000365984814633}","{0.74, 0.7091392365786272}","{0.75, 0.7181160256137356}","{0.76, 0.7269670039882367}","{0.77, 0.735692242627252}","{0.78, 0.7442918465599383}","{0.79, 0.7527659563089355}","{0.8, 0.7611147490917445}","{0.81, 0.7693384398387779}","{0.8200000000000001, 0.7774372820339798}","{0.8300000000000001, 0.7854115683849207}","{0.8400000000000001, 0.7932616313300009}","{0.8500000000000001, 0.8009878433907343}","{0.8600000000000001, 0.8085906173774022}","{0.87, 0.816070406456476}","{0.88, 0.8234277040880792}","{0.89, 0.8306630438418471}","{0.9, 0.8377769990991755}","{0.91, 0.8447701826497288}","{0.92, 0.851643246189823}","{0.93, 0.8583968797299916}","{0.9400000000000001, 0.8650318109187146}","{0.9500000000000001, 0.8715488042891381}","{0.9600000000000001, 0.8779486604351129}","{0.9700000000000001, 0.8842322151227465}","{0.9800000000000001, 0.8904003383433566}","{0.99, 0.8964539333133229}","{1., 0.9023939354262864}","{1., 0.9023939354262864}","{1.1, 0.955772861295646}","{1.2, 0.9990149262470495}","{1.3, 1.0333966618506447}","{1.4, 1.0602504499330327}","{1.5, 1.0808656687578289}","{1.6, 1.0964201357984287}","{1.7000000000000002, 1.1079422605557845}","{1.8, 1.1162985886116652}","{1.9, 1.1221991298102212}","{2., 1.1262131065044465}","{2.1, 1.1287893168124934}","{2.2, 1.130277197524077}","{2.3, 1.1309463252533998}","{2.4000000000000004, 1.1310033042436693}","{2.5, 1.1306057609682354}","{2.6, 1.1298735954096817}","{2.7, 1.1288978373519079}","{2.8, 1.1277475151501808}","{2.9000000000000004, 1.1264749291486915}","{3., 1.1251196731343212}","{3.1, 1.1237116883720606}","{3.2, 1.122273577879545}","{3.3000000000000003, 1.1208223588901332}","{3.4000000000000004, 1.119370790430476}","{3.5, 1.1179283802672295}","{3.6, 1.1165021500582444}","{3.7, 1.1150972180729186}","{3.8000000000000003, 1.113717244086811}","{3.9000000000000004, 1.1123647699428805}","{4., 1.1110414809391382}"
