"{0, 0.999665715414082}","{1, 0.9997276678268205}","{2, 0.9998316391669565}","{3, 0.9999034246808778}","{4, 0.9999431136346258}","{5, 0.9999645893334859}","{6, 0.9999766748883498}","{7, 0.9999838353680236}","{8, 0.999988294960297}","{9, 0.999991201799855}","{10, 0.999993175009461}","{11, 0.9999945634064383}","{12, 0.9999955717703749}","{13, 0.999996324971848}","{14, 0.9999969017621403}","{15, 0.9999973533459975}","{16, 0.9999977139403475}","{17, 0.9999980069548399}","{18, 0.9999982487725417}","{19, 0.9999984510857928}","{20, 0.9999986223878217}","{21, 0.9999987689516127}","{22, 0.999998895485611}","{23, 0.9999990055696574}","{24, 0.9999991019675099}","{25, 0.999999186835152}","{26, 0.9999992618809835}","{27, 0.9999993284693592}","{28, 0.9999993877044941}","{29, 0.9999994404882481}","{30, 0.9999994875645817}","{31, 0.9999995295521609}","{32, 0.9999995669682339}","{33, 0.9999996002505488}","{34, 0.9999996297685415}","{35, 0.999999655837045}","{36, 0.999999678723353}","{37, 0.9999996986565518}","{38, 0.9999997158295082}","{39, 0.999999730405379}","{40, 0.9999997425205699}","{41, 0.9999997522867828}","{42, 0.9999997597927488}","{43, 0.9999997651065214}","{44, 0.9999997682760199}","{45, 0.99999976932943}"
"{0, 0.9901403873774592}","{1, 0.9908901889956395}","{2, 0.9924155397249693}","{3, 0.9938563014131566}","{4, 0.9949754980407487}","{5, 0.9958020371159243}","{6, 0.9964103823569143}","{7, 0.9968638685626355}","{8, 0.9972080735530764}","{9, 0.9974745201080486}","{10, 0.9976848851804216}","{11, 0.9978541569791853}","{12, 0.9979927901713723}","{13, 0.998108165888}","{14, 0.9982055640513112}","{15, 0.998288820678776}","{16, 0.9983607695704346}","{17, 0.99842353506239}","{18, 0.9984787375460145}","{19, 0.9985276305855686}","{20, 0.9985711964986776}","{21, 0.9986102143278719}","{22, 0.9986453096880196}","{23, 0.9986769887234398}","{24, 0.9987056662714471}","{25, 0.9987316826975451}","{26, 0.9987553230971608}","{27, 0.9987768249344418}","{28, 0.9987963890674292}","{29, 0.9988141862187769}","{30, 0.9988303621730262}","{31, 0.9988450424999309}","{32, 0.9988583347126709}","{33, 0.9988703329523382}","{34, 0.9988811180516726}","{35, 0.9988907604640763}","{36, 0.9988993205170863}","{37, 0.99890685172246}","{38, 0.9989133986642937}","{39, 0.9989189994236521}","{40, 0.9989236865857531}","{41, 0.9989274866608638}","{42, 0.9989304206938117}","{43, 0.9989325049283375}","{44, 0.9989337511584139}","{45, 0.9989341659023968}"
"{0, 0.9735013527935404}","{1, 0.9751015645936828}","{2, 0.978417676262943}","{3, 0.9816476403535965}","{4, 0.9842545954177494}","{5, 0.986268618743487}","{6, 0.9878231740167832}","{7, 0.9890357493504592}","{8, 0.9899934175138909}","{9, 0.9907587114688299}","{10, 0.991376746632854}","{11, 0.9918806083642863}","{12, 0.9922949778507864}","{13, 0.9926385762478986}","{14, 0.992925776597607}","{15, 0.9931677190446525}","{16, 0.9933730924558931}","{17, 0.993548687175806}","{18, 0.9936998389862166}","{19, 0.9938307556347833}","{20, 0.99394477464939}","{21, 0.9940445628342889}","{22, 0.994132271484908}","{23, 0.9942096474973054}","{24, 0.9942781267577998}","{25, 0.9943388843867929}","{26, 0.9943929084102028}","{27, 0.994441017834699}","{28, 0.9944839039268903}","{29, 0.994522152991699}","{30, 0.9945562622277242}","{31, 0.9945866596282943}","{32, 0.9946137078834925}","{33, 0.9946377252192179}","{34, 0.9946589823260065}","{35, 0.9946777148533203}","{36, 0.9946941223080368}","{37, 0.9947083835479449}","{38, 0.9947206453758899}","{39, 0.9947310318915848}","{40, 0.9947396514520966}","{41, 0.9947465897008637}","{42, 0.9947519162370968}","{43, 0.9947556829050069}","{44, 0.9947579294522189}","{45, 0.9947586763552764}"
"{0, 0.9356388162312974}","{1, 0.9388923106248762}","{2, 0.9456547846847354}","{3, 0.9522865871927803}","{4, 0.9577136051827091}","{5, 0.9619847026126094}","{6, 0.9653498977719676}","{7, 0.9680317077233911}","{8, 0.9701962634302785}","{9, 0.9719634972722927}","{10, 0.9734201608741865}","{11, 0.9746300241936816}","{12, 0.9756408222817362}","{13, 0.9764890710537945}","{14, 0.9772032588145937}","{15, 0.9778060944542949}","{16, 0.9783160336585224}","{17, 0.9787482549846178}","{18, 0.9791154283858532}","{19, 0.9794281673713716}","{20, 0.9796953606968225}","{21, 0.9799244145403784}","{22, 0.9801214636558262}","{23, 0.9802915479945781}","{24, 0.9804388243036284}","{25, 0.9805666458230187}","{26, 0.9806778354359103}","{27, 0.9807746951311106}","{28, 0.9808591550020535}","{29, 0.9809328445470471}","{30, 0.9809971287552708}","{31, 0.9810531878260915}","{32, 0.9811019992419356}","{33, 0.9811444371709482}","{34, 0.9811812269810232}","{35, 0.9812130087393823}","{36, 0.9812403083960937}","{37, 0.9812636204574252}","{38, 0.981283333700546}","{39, 0.9812997701642325}","{40, 0.9813132321939813}","{41, 0.9813239396883194}","{42, 0.9813320834887624}","{43, 0.9813377957817666}","{44, 0.9813411916002444}","{45, 0.9813423198357208}"
"{0, 0.8083683250157732}","{1, 0.81587641960144}","{2, 0.8316224197434217}","{3, 0.8473261257411695}","{4, 0.8604271666445745}","{5, 0.8709241127368335}","{6, 0.8793271291723137}","{7, 0.886120118795512}","{8, 0.8916753847821915}","{9, 0.8962679640687236}","{10, 0.9000998096588869}","{11, 0.9033214790466314}","{12, 0.9060467311214894}","{13, 0.9083631890496594}","{14, 0.9103391106105866}","{15, 0.9120320665094772}","{16, 0.9134757428147731}","{17, 0.914715385425838}","{18, 0.9157768569682894}","{19, 0.9166844115365089}","{20, 0.9174586221549295}","{21, 0.9181171889184475}","{22, 0.9186756549400462}","{23, 0.9191477884127546}","{24, 0.9195461815182022}","{25, 0.9198814225883103}","{26, 0.9201635026913889}","{27, 0.9204006679608581}","{28, 0.9205999672476929}","{29, 0.9207674054978584}","{30, 0.920907795226263}","{31, 0.9210254308339694}","{32, 0.9211235079037591}","{33, 0.92120517599004}","{34, 0.9212727817628399}","{35, 0.921328553625048}","{36, 0.9213740734169509}","{37, 0.9214116942196705}","{38, 0.9214412140569914}","{39, 0.9214649490949817}","{40, 0.9214836413422023}","{41, 0.9214978877107597}","{42, 0.9215083788447087}","{43, 0.9215154751794845}","{44, 0.9215196975567472}","{45, 0.9215211196026861}"
